caseId,marginCurrent_m0,marginHybrid_m0,marginAbsolute_m0,marginCurrent_m1,marginHybrid_m1,marginAbsolute_m1,marginCurrent_m2,marginHybrid_m2,marginAbsolute_m2,marginCurrent_m3,marginHybrid_m3,marginAbsolute_m3
sd04p0_alt30p0_raz090p0_aod0p150,-0.46634092353581946,-0.9082596153849426,-3.5261414265270212,-1.4663409235358196,-1.9082596153849427,-4.526141426527021,-2.4663409235358196,-2.9082596153849427,-5.526141426527021,-3.4663409235358196,-3.9082596153849427,-6.526141426527021
sd04p0_alt30p0_raz135p0_aod0p150,-0.41527759062275427,-0.7025494854063762,-3.317598716223378,-1.4152775906227544,-1.7025494854063763,-4.317598716223378,-2.4152775906227544,-2.7025494854063763,-5.317598716223378,-3.4152775906227544,-3.7025494854063763,-6.317598716223378
sd04p0_alt30p0_raz180p0_aod0p050,-0.40496623801651876,,-3.3405282172963404,-1.4049662380165189,,-4.34052821729634,-2.404966238016519,,-5.34052821729634,-3.404966238016519,,-6.34052821729634
sd04p0_alt30p0_raz180p0_aod0p150,-0.40496623801651876,-0.6626069336215273,-3.2770729596924153,-1.4049662380165189,-1.6626069336215274,-4.277072959692415,-2.404966238016519,-2.6626069336215274,-5.277072959692415,-3.404966238016519,-3.6626069336215274,-6.277072959692415
sd04p0_alt30p0_raz180p0_aod0p300,-0.40496623801651876,,-3.240684120143835,-1.4049662380165189,,-4.240684120143834,-2.404966238016519,,-5.240684120143834,-3.404966238016519,,-6.240684120143834
sd04p0_alt45p0_raz090p0_aod0p150,-0.3872689900737537,-0.6386122451461475,-3.2528022158521552,-1.3872689900737538,-1.6386122451461476,-4.252802215852155,-2.387268990073754,-2.6386122451461476,-5.252802215852155,-3.387268990073754,-3.6386122451461476,-6.252802215852155
sd04p0_alt60p0_raz000p0_aod0p150,-0.46305211889127873,-0.8500334733855673,-3.4672361911728733,-1.4630521188912788,-1.8500334733855675,-4.467236191172873,-2.463052118891279,-2.8500334733855675,-5.467236191172873,-3.463052118891279,-3.8500334733855675,-6.467236191172873
sd04p0_alt60p0_raz090p0_aod0p150,-0.3504496899617976,-0.45666262069429064,-3.068073470277439,-1.3504496899617977,-1.4566626206942908,-4.068073470277438,-2.3504496899617977,-2.4566626206942908,-5.068073470277438,-3.3504496899617977,-3.4566626206942908,-6.068073470277438
sd04p0_alt60p0_raz180p0_aod0p150,-0.3073064764249359,-0.4036051938199051,-3.014147977735098,-1.307306476424936,-1.4036051938199052,-4.014147977735098,-2.307306476424936,-2.4036051938199052,-5.014147977735098,-3.307306476424936,-3.4036051938199052,-6.014147977735098
sd04p0_alt90p0_raz000p0_aod0p150,-0.3265804021507591,-0.3196346995258409,-2.9287861365801917,-1.3265804021507592,-1.319634699525841,-3.9287861365801917,-2.3265804021507592,-2.319634699525841,-4.928786136580191,-3.3265804021507592,-3.319634699525841,-5.928786136580191
