caseId,group,sunDepressionDeg,targetGeometricAltitudeDeg,relativeAzimuthDeg,angularSeparationDeg,aod550,currentTwilightNl,hybridTwilightNl,absoluteTwilightNl,absoluteRelUncert,lutDirectionalRatio,currentTotalSkyMag,hybridTotalSkyMag,absoluteTotalSkyMag,currentNELM,hybridNELM,absoluteNELM,absMinusCurrentDex,absMinusCurrentNELMMag,hybMinusCurrentDex,hybMinusCurrentNELMMag
sd04p0_alt30p0_raz000p0_aod0p050,sensitivity-aod,4,30,0,34.0,0.05,227599.13838135017,,8444267.746378835,0.008279395902550774,,12.93784312181128,,9.014811043769033,-0.8523633614096017,,-4.741842469130557,1.56939138160981,-3.889479107720955,,
sd04p0_alt30p0_raz000p0_aod0p150,core,4,30,0,34.0,0.15,227599.13838135017,732959.1028629498,8382922.09237237,0.008303088569413995,5.280952582878553,12.93784312181128,11.66837679605167,9.02272732022038,-0.8523633614096017,-2.1041229572724256,-4.733950455534066,1.5662248163889165,-3.881587094124464,0.5079091292347577,-1.2517595958628238
sd04p0_alt30p0_raz000p0_aod0p300,sensitivity-aod,4,30,0,34.0,0.3,227599.13838135017,,7688234.216327634,0.008570714266912995,,12.93784312181128,,9.116647712341093,-0.8523633614096017,,-4.640324753975541,1.5286559916958318,-3.7879613925659394,,
sd04p0_alt30p0_raz045p0_aod0p150,sensitivity-azimuth,4,30,45,54.83,0.15,185999.45886056055,444015.9767277635,5078252.423823761,0.008242179776211285,3.1991243576631945,13.156892297222186,12.212488709798492,9.566919015599924,-0.6375382988506736,-1.5663756826710888,-4.191656895008041,1.4362026037750617,-3.5541185961573674,0.3778869166209029,-0.9288373838204153
sd04p0_alt30p0_raz090p0_aod0p150,core,4,30,90,92.0,0.15,158314.6580591844,239855.9606695588,2743255.147292995,0.009959064914096325,1.7281563869922592,13.331775001409952,12.880915839536579,10.235518383905685,-0.46634092353581946,-0.9082596153849426,-3.5261414265270212,1.2387450755180032,-3.0598005029912017,0.18042938836384437,-0.44191869184912314
sd04p0_alt30p0_raz135p0_aod0p150,sensitivity-azimuth,4,30,135,130.22,0.15,150876.0169727172,197723.50977994266,2261382.3497674856,0.011359504085986969,1.4245930988368414,13.383996301607109,13.09055753343257,10.445239887680419,-0.41527759062275427,-0.7025494854063762,-3.317598716223378,1.1757537876936688,-2.902321125600624,0.11743810053950998,-0.2872718947836219
sd04p0_alt30p0_raz180p0_aod0p050,sensitivity-aod,4,30,180,154.0,0.05,149416.37671433418,,2309938.0066302475,0.011774587838334545,,13.394544884516941,,10.422175136342377,-0.40496623801651876,,-3.3405282172963404,1.1892021238552903,-2.9355619792798215,,
sd04p0_alt30p0_raz180p0_aod0p150,core,4,30,180,154.0,0.15,149416.37671433418,190436.50506796894,2178040.192546678,0.011670734504686342,1.3720904063880632,13.394544884516941,13.13130848935801,10.486008228262826,-0.40496623801651876,-0.6626069336215273,-3.2770729596924153,1.1636676890249786,-2.8721067216758964,0.10535200187081983,-0.2576406956050086
sd04p0_alt30p0_raz180p0_aod0p300,sensitivity-aod,4,30,180,154.0,0.3,149416.37671433418,,2105818.5375765176,0.011977757863722824,,13.394544884516941,,10.522618803700002,-0.40496623801651876,,-3.240684120143835,1.1490227437348128,-2.835717882127316,,
sd04p0_alt45p0_raz090p0_aod0p150,sensitivity-altitude,4,45,90,92.83,0.15,146958.74303856608,186202.5023300013,2129615.5056130732,0.011219634101894667,1.341584519214211,13.412651984049123,13.155796156117608,10.510426450638166,-0.3872689900737537,-0.6386122451461475,-3.2528022158521552,1.161105771492224,-2.8655332257784014,0.10279008433806514,-0.25134325507239375
